frame_number,time_s,accumulated_signal_DN,ramp_to_ramp_std_DN,fractional_rolloff,initial_linear_model_DN
6.600000000000000000e+01,6.920601599999999110e+01,9.390000000000000000e+02,3.839704849768186534e+01,2.187499999999997780e-02,9.600000000000000000e+02
6.700000000000000000e+01,7.025459200000000237e+01,9.550000000000000000e+02,3.638681079732050705e+01,2.051282051282055097e-02,9.750000000000000000e+02
6.800000000000000000e+01,7.130316799999999944e+01,9.670000000000000000e+02,4.100406483915141109e+01,2.323232323232327090e-02,9.900000000000000000e+02
6.900000000000000000e+01,7.235174399999999650e+01,9.830000000000000000e+02,3.815756805667782459e+01,2.189054726368155901e-02,1.005000000000000000e+03
7.000000000000000000e+01,7.340031999999999357e+01,9.950000000000000000e+02,3.955165398985652558e+01,2.450980392156865140e-02,1.020000000000000000e+03
7.100000000000000000e+01,7.444889599999999064e+01,1.010000000000000000e+03,3.839704849768187245e+01,2.415458937198067257e-02,1.035000000000000000e+03
7.200000000000000000e+01,7.549747200000000191e+01,1.022000000000000000e+03,3.955165398985652558e+01,2.666666666666661634e-02,1.050000000000000000e+03
7.300000000000000000e+01,7.654604799999999898e+01,1.039000000000000000e+03,3.839704849768187245e+01,2.441314553990614478e-02,1.065000000000000000e+03
7.400000000000000000e+01,7.759462399999999604e+01,1.055000000000000000e+03,3.900000000000000000e+01,2.314814814814813992e-02,1.080000000000000000e+03
7.500000000000000000e+01,7.864319999999999311e+01,1.067000000000000000e+03,3.811823710509183627e+01,2.557077625570780555e-02,1.095000000000000000e+03
7.600000000000000000e+01,7.969177599999999018e+01,1.082000000000000000e+03,3.754108860080290100e+01,2.522522522522518962e-02,1.110000000000000000e+03
7.700000000000000000e+01,8.074035200000000145e+01,1.096000000000000000e+03,3.957692930652064689e+01,2.577777777777778834e-02,1.125000000000000000e+03
7.800000000000000000e+01,8.178892799999999852e+01,1.108000000000000000e+03,3.957692930652064689e+01,2.807017543859646747e-02,1.140000000000000000e+03
7.900000000000000000e+01,8.283750399999999559e+01,1.121000000000000000e+03,4.156921938165305619e+01,2.943722943722948404e-02,1.155000000000000000e+03
8.000000000000000000e+01,8.388607999999999265e+01,1.137000000000000000e+03,3.608785575970583182e+01,2.820512820512821595e-02,1.170000000000000000e+03
