frame_number,time_s,accumulated_signal_DN,ramp_to_ramp_std_DN,fractional_deviation,initial_linear_model_DN
9.100000000000000000e+01,5.301134222222221837e+01,7.491401666666666870e+01,4.510245155571863229e+00,5.712483901337250813e-02,7.086581820987655078e+01
9.200000000000000000e+01,5.359388444444444133e+01,7.457909444444445057e+01,4.151558603983080964e+00,4.104840968005940560e-02,7.163845000000000596e+01
9.300000000000000000e+01,5.417642666666666429e+01,7.578923333333332835e+01,3.904154788289586175e+00,4.665241092518290777e-02,7.241108179012346113e+01
9.400000000000000000e+01,5.475896888888888725e+01,7.660353888888889173e+01,4.460557989758830999e+00,4.672932188514988816e-02,7.318371358024691631e+01
9.500000000000000000e+01,5.534151111111111021e+01,7.758516111111111968e+01,4.323954555683639178e+00,4.906699651757784331e-02,7.395634537037037148e+01
9.600000000000000000e+01,5.592405333333333317e+01,7.829050555555559754e+01,5.168780376110243324e+00,4.765926860490488082e-02,7.472897716049382666e+01
9.700000000000000000e+01,5.650659555555554903e+01,7.805452222222220371e+01,3.875985229861841130e+00,3.381270024688709519e-02,7.550160895061729605e+01
9.800000000000000000e+01,5.708913777777777199e+01,8.033814444444442415e+01,5.270738909357836732e+00,5.328015938588026579e-02,7.627424074074075122e+01
9.900000000000000000e+01,5.767167999999999495e+01,8.055599444444445112e+01,4.218491440665064651e+00,4.554528689239822903e-02,7.704687253086420640e+01
1.000000000000000000e+02,5.825422222222221791e+01,8.105863333333334708e+01,4.316251814057406655e+00,4.162361403620629119e-02,7.781950432098766157e+01
1.010000000000000000e+02,5.883676444444444087e+01,8.225185555555555084e+01,4.479808729020598790e+00,4.656597498852099726e-02,7.859213611111111675e+01
1.020000000000000000e+02,5.941930666666666383e+01,8.240285000000000082e+01,3.492577941557592158e+00,3.827998467211757294e-02,7.936476790123457192e+01
1.030000000000000000e+02,6.000184888888888679e+01,8.278535555555555447e+01,4.405428379545305084e+00,3.304269759682609831e-02,8.013739969135802710e+01
