frame_number,time_s,accumulated_signal_DN,ramp_to_ramp_std_DN,fractional_rolloff,initial_linear_model_DN
7.500000000000000000e+01,4.369066666666666521e+01,2.381000000000000000e+03,2.400694344004111969e+01,1.302283105022831178e-01,2.737500000000000000e+03
7.600000000000000000e+01,4.427320888888888817e+01,2.413000000000000000e+03,2.022374841615668473e+01,1.304504504504504503e-01,2.775000000000000000e+03
7.700000000000000000e+01,4.485575111111111113e+01,2.445000000000000000e+03,1.929594085120840319e+01,1.306666666666667087e-01,2.812500000000000000e+03
7.800000000000000000e+01,4.543829333333332698e+01,2.477000000000000000e+03,1.637070554374490072e+01,1.308771929824561475e-01,2.850000000000000000e+03
7.900000000000000000e+01,4.602083555555554994e+01,2.507000000000000000e+03,1.442220510185595650e+01,1.317748917748917670e-01,2.887500000000000000e+03
8.000000000000000000e+01,4.660337777777777291e+01,2.538000000000000000e+03,1.234233905438241052e+01,1.323076923076923483e-01,2.925000000000000000e+03
8.100000000000000000e+01,4.718591999999999587e+01,2.570000000000000000e+03,9.018499505645788616e+00,1.324894514767932518e-01,2.962500000000000000e+03
8.200000000000000000e+01,4.776846222222221883e+01,2.600000000000000000e+03,7.505553499465134948e+00,1.333333333333333037e-01,3.000000000000000000e+03
8.300000000000000000e+01,4.835100444444444179e+01,2.629000000000000000e+03,5.000000000000000000e+00,1.344855967078188996e-01,3.037500000000000000e+03
8.400000000000000000e+01,4.893354666666666475e+01,2.657000000000000000e+03,3.605551275463989125e+00,1.359349593495935427e-01,3.075000000000000000e+03
8.500000000000000000e+01,4.951608888888888771e+01,2.686000000000000000e+03,1.732050807568877193e+00,1.370281124497991776e-01,3.112500000000000000e+03
8.600000000000000000e+01,5.009863111111111067e+01,2.713000000000000000e+03,1.527525231651946536e+00,1.387301587301587036e-01,3.150000000000000000e+03
8.700000000000000000e+01,5.068117333333332653e+01,2.741000000000000000e+03,2.886751345948128655e+00,1.400784313725490504e-01,3.187500000000000000e+03
8.800000000000000000e+01,5.126371555555554949e+01,2.769000000000000000e+03,4.618802153517006737e+00,1.413953488372092782e-01,3.225000000000000000e+03
8.900000000000000000e+01,5.184625777777777245e+01,2.794000000000000000e+03,5.859465277082315460e+00,1.436015325670497722e-01,3.262500000000000000e+03
9.000000000000000000e+01,5.242879999999999541e+01,2.822000000000000000e+03,8.717797887081347952e+00,1.448484848484848930e-01,3.300000000000000000e+03
9.100000000000000000e+01,5.301134222222221837e+01,2.847000000000000000e+03,9.073771725877465499e+00,1.469662921348314777e-01,3.337500000000000000e+03
9.200000000000000000e+01,5.359388444444444133e+01,2.873000000000000000e+03,1.044030650891055068e+01,1.487407407407407289e-01,3.375000000000000000e+03
9.300000000000000000e+01,5.417642666666666429e+01,2.899000000000000000e+03,1.228820572744450779e+01,1.504761904761904301e-01,3.412500000000000000e+03
9.400000000000000000e+01,5.475896888888888725e+01,2.925000000000000000e+03,1.307669683062202104e+01,1.521739130434782705e-01,3.450000000000000000e+03
9.500000000000000000e+01,5.534151111111111021e+01,2.949000000000000000e+03,1.422439219556791201e+01,1.544086021505376438e-01,3.487500000000000000e+03
9.600000000000000000e+01,5.592405333333333317e+01,2.974000000000000000e+03,1.686218649325565266e+01,1.563120567375886338e-01,3.525000000000000000e+03
9.700000000000000000e+01,5.650659555555554903e+01,2.996000000000000000e+03,1.644181660685136492e+01,1.590175438596491686e-01,3.562500000000000000e+03
9.800000000000000000e+01,5.708913777777777199e+01,3.019000000000000000e+03,1.852025917745213590e+01,1.613888888888889150e-01,3.600000000000000000e+03
9.900000000000000000e+01,5.767167999999999495e+01,3.040000000000000000e+03,1.873499399519519315e+01,1.642611683848796966e-01,3.637500000000000000e+03
1.000000000000000000e+02,5.825422222222221791e+01,3.064000000000000000e+03,1.946792233393178506e+01,1.662585034013605023e-01,3.675000000000000000e+03
1.010000000000000000e+02,5.883676444444444087e+01,3.086000000000000000e+03,1.985782801147530563e+01,1.687542087542087677e-01,3.712500000000000000e+03
1.020000000000000000e+02,5.941930666666666383e+01,3.108000000000000000e+03,2.116601048851672573e+01,1.712000000000000188e-01,3.750000000000000000e+03
1.030000000000000000e+02,6.000184888888888679e+01,3.129000000000000000e+03,1.965536398374075588e+01,1.738613861386139048e-01,3.787500000000000000e+03
1.040000000000000000e+02,6.058439111111110975e+01,3.150000000000000000e+03,1.946792233393178506e+01,1.764705882352941568e-01,3.825000000000000000e+03
1.050000000000000000e+02,6.116693333333333271e+01,3.170000000000000000e+03,1.946792233393178506e+01,1.792880258899676171e-01,3.862500000000000000e+03
1.060000000000000000e+02,6.174947555555554857e+01,3.189000000000000000e+03,1.985782801147530563e+01,1.823076923076922817e-01,3.900000000000000000e+03
1.070000000000000000e+02,6.233201777777777153e+01,3.208000000000000000e+03,1.833939293797189052e+01,1.852698412698412511e-01,3.937500000000000000e+03
1.080000000000000000e+02,6.291455999999999449e+01,3.227000000000000000e+03,1.665332799572906097e+01,1.881761006289308646e-01,3.975000000000000000e+03
1.090000000000000000e+02,6.349710222222221745e+01,3.244000000000000000e+03,1.582192571507442302e+01,1.915264797507788552e-01,4.012500000000000000e+03
1.100000000000000000e+02,6.407964444444444041e+01,3.262000000000000000e+03,1.582192571507442302e+01,1.945679012345679082e-01,4.050000000000000000e+03
1.110000000000000000e+02,6.466218666666665627e+01,3.278000000000000000e+03,1.410673597966588488e+01,1.980428134556574404e-01,4.087500000000000000e+03
1.120000000000000000e+02,6.524472888888888633e+01,3.294000000000000000e+03,1.252996408614166768e+01,2.014545454545454417e-01,4.125000000000000000e+03
1.130000000000000000e+02,6.582727111111110219e+01,3.309000000000000000e+03,1.101514109457220236e+01,2.050450450450450601e-01,4.162500000000000000e+03
1.140000000000000000e+02,6.640981333333333225e+01,3.327000000000000000e+03,9.000000000000000000e+00,2.078571428571428514e-01,4.200000000000000000e+03
1.150000000000000000e+02,6.699235555555554811e+01,3.340000000000000000e+03,7.767453465154028791e+00,2.117994100294985360e-01,4.237500000000000000e+03
1.160000000000000000e+02,6.757489777777777817e+01,3.355000000000000000e+03,6.658328118479393432e+00,2.152046783625730653e-01,4.275000000000000000e+03
1.170000000000000000e+02,6.815743999999999403e+01,3.371000000000000000e+03,4.725815626252608759e+00,2.183188405797101828e-01,4.312500000000000000e+03
1.180000000000000000e+02,6.873998222222222410e+01,3.387000000000000000e+03,5.567764362830021518e+00,2.213793103448276067e-01,4.350000000000000000e+03
1.190000000000000000e+02,6.932252444444443995e+01,3.404000000000000000e+03,5.859465277082315460e+00,2.241595441595441995e-01,4.387500000000000000e+03
1.200000000000000000e+02,6.990506666666665581e+01,3.418000000000000000e+03,5.773502691896258199e+00,2.275706214689265927e-01,4.425000000000000000e+03
1.210000000000000000e+02,7.048760888888888587e+01,3.428000000000000000e+03,6.557438524302000360e+00,2.318207282913165024e-01,4.462500000000000000e+03
1.220000000000000000e+02,7.107015111111110173e+01,3.439000000000000000e+03,8.020806277010644081e+00,2.357777777777777528e-01,4.500000000000000000e+03
1.230000000000000000e+02,7.165269333333333179e+01,3.451000000000000000e+03,8.504900548115383430e+00,2.394490358126721841e-01,4.537500000000000000e+03
1.240000000000000000e+02,7.223523555555554765e+01,3.461000000000000000e+03,9.504384952922169560e+00,2.434972677595628188e-01,4.575000000000000000e+03
1.250000000000000000e+02,7.281777777777777771e+01,3.468000000000000000e+03,1.040832999733066266e+01,2.481300813008130435e-01,4.612500000000000000e+03
1.260000000000000000e+02,7.340031999999999357e+01,3.477000000000000000e+03,1.001665280087781262e+01,2.522580645161289770e-01,4.650000000000000000e+03
1.270000000000000000e+02,7.398286222222222364e+01,3.486000000000000000e+03,1.081665382639196871e+01,2.563199999999999923e-01,4.687500000000000000e+03
1.280000000000000000e+02,7.456540444444443949e+01,3.493000000000000000e+03,1.058300524425836286e+01,2.607407407407407174e-01,4.725000000000000000e+03
1.290000000000000000e+02,7.514794666666665535e+01,3.502000000000000000e+03,1.026320287889376814e+01,2.646719160104986646e-01,4.762500000000000000e+03
1.300000000000000000e+02,7.573048888888888541e+01,3.506000000000000000e+03,1.021436896402970795e+01,2.695833333333332860e-01,4.800000000000000000e+03
1.310000000000000000e+02,7.631303111111110127e+01,3.513000000000000000e+03,9.643650760992954929e+00,2.737984496124030720e-01,4.837500000000000000e+03
