frame_number,time_s,accumulated_signal_DN,ramp_to_ramp_std_DN,fractional_deviation,initial_linear_model_DN
2.600000000000000000e+01,2.726297599999999832e+01,3.516989999999998417e+01,3.595370647040727619e+00,1.304213174396684494e-02,3.471711481481474948e+01
2.700000000000000000e+01,2.831155199999999894e+01,3.675818888888886704e+01,3.806705067505309792e+00,1.830079176175414268e-02,3.609757469135795560e+01
2.800000000000000000e+01,2.936012799999999956e+01,3.859527777777782376e+01,3.247772021966211398e+00,2.981061367699200382e-02,3.747803456790116883e+01
2.900000000000000000e+01,3.040870400000000018e+01,4.026748888888891997e+01,3.814455389213025072e+00,3.625962520135650458e-02,3.885849444444437495e+01
3.000000000000000000e+01,3.145727999999999724e+01,3.975917777777772244e+01,3.521207772134506975e+00,1.192318615893106504e-02,4.023895432098758107e+01
3.100000000000000000e+01,3.250585600000000142e+01,4.167463333333330411e+01,2.991435353004268549e+00,1.326763888132465041e-03,4.161941419753079430e+01
3.200000000000000000e+01,3.355443199999999848e+01,4.327662222222215860e+01,3.014034022216988795e+00,6.436022293261123295e-03,4.299987407407400042e+01
3.300000000000000000e+01,3.460300799999999555e+01,4.517958888888881575e+01,3.252672141447125576e+00,1.800921415239820078e-02,4.438033395061720654e+01
3.400000000000000000e+01,3.565158399999999972e+01,4.690444444444437977e+01,3.818561957771462012e+00,2.499193133763277785e-02,4.576079382716041977e+01
3.500000000000000000e+01,3.670015999999999678e+01,4.892423333333329083e+01,4.285736447030870089e+00,3.782206643964558523e-02,4.714125370370362589e+01
3.600000000000000000e+01,3.774873600000000096e+01,4.952006666666659385e+01,3.531473610933832052e+00,2.057538806350378557e-02,4.852171358024683201e+01
3.700000000000000000e+01,3.879731199999999802e+01,5.129918888888892070e+01,3.110124912357438820e+00,2.799508188372890061e-02,4.990217345679004524e+01
3.800000000000000000e+01,3.984588799999999509e+01,5.154075555555562005e+01,3.437773834355078773e+00,5.033326205083676896e-03,5.128263333333325136e+01
3.900000000000000000e+01,4.089446399999999926e+01,5.411594444444438068e+01,3.708812340145696940e+00,2.758765476949709416e-02,5.266309320987645748e+01
4.000000000000000000e+01,4.194303999999999633e+01,5.492204444444450928e+01,3.345472437601979543e+00,1.625524799637179107e-02,5.404355308641967071e+01
4.100000000000000000e+01,4.299161600000000050e+01,5.658496666666667352e+01,3.762996756563513845e+00,2.094676371556869476e-02,5.542401296296287683e+01
4.200000000000000000e+01,4.404019199999999756e+01,5.799621111111105165e+01,3.628152585330674640e+00,2.097965551008762475e-02,5.680447283950608295e+01
4.300000000000000000e+01,4.508876799999999463e+01,6.040563333333329865e+01,3.380954805182195599e+00,3.816624877992613740e-02,5.818493271604929618e+01
4.400000000000000000e+01,4.613734399999999880e+01,6.095437777777772226e+01,3.269173876855194116e+00,2.331866079831645955e-02,5.956539259259250230e+01
4.500000000000000000e+01,4.718591999999999587e+01,6.166678888888884558e+01,3.512583427192446095e+00,1.182913013019604165e-02,6.094585246913570842e+01
4.600000000000000000e+01,4.823449600000000004e+01,6.374243333333333794e+01,3.668665491586779570e+00,2.272107773359377525e-02,6.232631234567892164e+01
4.700000000000000000e+01,4.928307199999999710e+01,6.539356666666674300e+01,3.509083234309024579e+00,2.647747461699556659e-02,6.370677222222213487e+01
4.800000000000000000e+01,5.033164800000000128e+01,6.651990000000000691e+01,3.990916883370164037e+00,2.201150448463828901e-02,6.508723209876534099e+01
4.900000000000000000e+01,5.138022399999999834e+01,6.795629999999994197e+01,3.462397682402218901e+00,2.239596382020270227e-02,6.646769197530855422e+01
5.000000000000000000e+01,5.242879999999999541e+01,6.894421111111114442e+01,3.602742135643295374e+00,1.615459270950592163e-02,6.784815185185176745e+01
5.100000000000000000e+01,5.347737599999999958e+01,7.085381111111109931e+01,3.774956952939095611e+00,2.347583379386963820e-02,6.922861172839496646e+01
5.200000000000000000e+01,5.452595199999999664e+01,7.175481111111105292e+01,3.494045798806866276e+00,1.622651990927392873e-02,7.060907160493817969e+01
5.300000000000000000e+01,5.557452800000000082e+01,7.394663333333335231e+01,3.771475150203709159e+00,2.718592289151655628e-02,7.198953148148139292e+01
5.400000000000000000e+01,5.662310399999999788e+01,7.461066666666670244e+01,4.095902497722184066e+00,1.690984673267803551e-02,7.336999135802459193e+01
5.500000000000000000e+01,5.767167999999999495e+01,7.694078888888884649e+01,3.710523182095697425e+00,2.930199909359387789e-02,7.475045123456780516e+01
5.600000000000000000e+01,5.872025599999999912e+01,7.775273333333325354e+01,3.971949651895304800e+00,2.130307123022912030e-02,7.613091111111101839e+01
5.700000000000000000e+01,5.976883199999999619e+01,7.817967777777778338e+01,3.075013474701965510e+00,8.622048373134960642e-03,7.751137098765421740e+01
5.800000000000000000e+01,6.081740800000000036e+01,8.121985555555556857e+01,3.206263798771824991e+00,2.950907167264937847e-02,7.889183086419743063e+01
